epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,557.112,1.42037,4.55139,1.45506,0.04821,0.02364,0.03644,0.03032,1.15381,4.45938,1.27195,0.0001104,0.0001104,0.0001104
2,1039.45,1.39806,3.4698,1.41017,0.22427,0.16224,0.10147,0.07236,1.30274,3.68235,1.39318,0.000202049,0.000202049,0.000202049
3,1527.08,1.42518,2.80584,1.4066,0.75327,0.17181,0.19043,0.1171,1.33353,2.73539,1.43003,0.000271156,0.000271156,0.000271156
4,2021.08,1.39066,2.4697,1.38395,0.68081,0.22917,0.24562,0.1485,1.33037,2.2493,1.42074,0.000242535,0.000242535,0.000242535
5,2525.35,1.33722,2.26621,1.36225,0.75308,0.21512,0.27244,0.16892,1.30127,1.99442,1.39214,0.00020838,0.00020838,0.00020838
6,3005.83,1.3323,2.16652,1.3327,0.74917,0.25508,0.29836,0.19106,1.28692,1.91579,1.36349,0.000174225,0.000174225,0.000174225
7,3483.28,1.28583,2.02431,1.30678,0.6723,0.27256,0.32341,0.21217,1.28604,1.80748,1.35956,0.00014007,0.00014007,0.00014007
8,3963.4,1.24289,1.93881,1.27067,0.4631,0.34646,0.32175,0.20693,1.24974,1.76876,1.33412,0.000105915,0.000105915,0.000105915
9,4446.76,1.231,1.90373,1.2714,0.58831,0.35018,0.35257,0.23209,1.23343,1.71047,1.31826,7.176e-05,7.176e-05,7.176e-05
10,4925.66,1.18572,1.81804,1.23903,0.56675,0.37954,0.36509,0.23943,1.22622,1.67754,1.31577,3.7605e-05,3.7605e-05,3.7605e-05
